DIRECTORIO,SECUENCIA_ENCUESTA,SECUENCIA_P,ORDEN.x,ING,REC,CAR,SEC,I_HOGAR
7804104,1,1,1,1,0,0,1,7740000
7858403,1,1,1,1,0,0,1,1441666.6667
7872572,1,1,1,1,0,0,1,550000
7866857,1,1,1,1,0,0,1,1016666.6667
7825176,1,1,1,1,0,0,1,1900000
7798693,1,1,1,1,0,0,1,1080000
7856624,1,1,1,1,0,0,1,960000
7792553,1,1,1,1,0,0,1,1000000
7826484,1,1,1,1,0,0,1,1800000
7870682,1,1,1,1,0,0,1,2920000
7876197,1,1,1,1,0,0,1,1300000
7805080,1,1,1,1,0,0,1,175000
7876216,1,1,1,1,0,0,0,1500000
7856819,1,1,1,1,0,0,0,1750000
7844142,1,1,1,1,0,0,1,651666.66667
7878699,1,1,1,1,0,0,1,1090000
7859631,1,1,1,1,0,0,1,1930000
7906487,1,1,1,1,0,0,1,441666.66667
7790212,1,1,1,1,0,0,1,8200000
7909426,1,1,1,1,0,0,1,1000000
7889002,1,1,1,1,0,0,1,492500
7886780,1,1,1,1,0,0,1,1450000
7856307,1,1,1,1,0,0,1,695000
7863881,1,1,1,1,0,0,1,900000
7897904,1,1,1,1,0,0,1,2413333.3333
7840948,1,1,1,1,0,0,1,1303333.3333
7853800,1,1,1,1,0,0,1,470833.33333
7818784,1,1,1,1,0,0,1,1200000
7838527,1,1,1,1,0,0,1,1000000
7830590,1,1,1,1,0,0,1,1000000
7860476,1,1,1,1,0,0,1,1140000
7837743,1,1,1,1,0,0,0,410000
7885009,1,1,1,1,0,0,0,430000
7798140,1,1,1,1,0,0,1,871900
7846739,1,1,1,1,0,0,0,960000
7860210,1,1,1,1,0,0,1,896666.66667
7835802,1,1,1,1,0,0,1,750000
7825416,1,1,1,1,0,0,0,439166.66667
7888559,1,1,1,1,0,0,1,2877500
7859037,1,1,1,1,0,0,1,2150000
7859975,1,1,1,1,0,0,1,2200000
7826669,1,1,1,1,0,0,0,1300000
7834461,1,1,1,1,0,0,1,600000
7853180,1,1,1,1,0,0,1,1037500
7852193,1,1,1,1,0,0,1,1438333.3333
7788468,1,1,1,1,1,0,0,1498333.3333
7827412,1,1,1,1,0,0,1,899583.33333
7848451,1,1,1,1,0,0,1,512500
7791281,1,1,1,1,0,0,1,800000
7853718,1,1,1,1,0,0,1,890000
7877177,1,1,1,1,0,0,1,900000
7828553,1,1,1,1,0,0,0,1141666.6667
7852235,1,1,1,1,0,0,0,665000
7789224,1,1,1,1,0,0,0,416666.66667
7829301,1,1,1,1,0,0,1,420000
7849148,1,1,1,1,0,0,1,2966666.6667
7832793,1,1,1,1,0,0,1,12183333.333
7895635,1,1,1,1,0,0,1,2736000
7867203,1,1,1,1,0,0,1,1131666.6667
7825397,1,1,1,1,0,0,1,1395000
7836639,1,1,1,1,0,0,1,551666.66667
7866661,1,1,1,1,0,0,0,2091666.6667
7860400,1,1,1,1,0,0,1,840000
7870930,1,1,1,1,0,0,0,300000
7846708,1,1,1,1,0,0,1,1100000
7825546,1,1,1,1,0,0,1,800000
7827687,1,1,1,1,1,0,1,1216666.6667
7849607,1,1,1,1,0,0,1,1126900
7804633,1,1,1,1,0,0,0,780000
7825755,1,1,1,1,0,0,0,616666.66667
7908375,1,1,1,1,0,0,1,2536166.6667
7826856,1,1,1,1,0,0,1,320000
7904309,1,1,1,1,0,0,1,830000
7876167,1,1,1,1,0,0,1,1366666.6667
7802119,1,1,1,1,0,0,1,816666.66667
7880310,1,1,1,1,1,0,1,1280000
7839309,1,1,1,1,0,0,1,800000
7874528,1,1,1,1,0,0,1,1344166.6667
7840451,1,1,1,1,0,0,1,80000
7807784,1,1,1,1,0,0,1,1343333.3333
7807023,1,1,1,1,0,0,0,4580000
7899720,1,1,1,1,1,0,0,1730000
7889549,1,1,1,1,0,0,1,300000
7828925,1,1,1,1,0,0,1,896666.66667
7866140,1,1,1,1,0,0,1,1370000
7901655,1,1,1,1,0,0,1,293333.33333
7863411,1,1,1,1,0,0,0,1600000
7829937,1,1,1,1,0,0,1,272500
7883788,1,1,1,1,0,0,1,160000
7905395,1,1,1,1,0,0,0,413333.33333
7849593,1,1,1,1,1,0,1,2287500
7883536,1,1,1,1,0,0,1,566666.66667
7883844,1,1,1,1,0,0,0,1150000
7868150,1,1,1,1,0,0,0,142500
7796926,1,1,1,1,0,0,0,1358333.3333
7905281,1,1,1,1,0,0,1,600000
7881899,1,1,1,1,0,0,1,600000
7819895,1,1,1,1,0,0,1,900000
7842902,1,1,1,1,0,1,1,430000
7816113,1,1,1,1,0,0,1,1335000
7844962,1,1,1,1,0,0,1,1340000
7909360,1,1,1,1,0,0,1,400000
7797660,1,1,1,1,0,0,1,2642500
7898933,1,1,1,1,1,0,1,420000
7867257,1,1,1,1,0,0,0,1200000
7853634,1,1,1,1,0,0,0,2122500
7845698,1,1,1,1,0,0,0,741666.66667
